[2026-04-13T15:58:17+0800] Watcher started. deadline=disabled. DRY_RUN=0. TRAIN_GPU=<cpu-only>
[2026-04-13T16:34:28+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:35:29+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:36:29+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:37:29+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:38:30+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:39:30+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:40:30+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:41:30+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:42:31+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:43:31+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:44:31+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:45:32+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:46:32+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:47:32+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:48:32+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:49:33+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:50:33+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:51:33+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:52:34+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:53:34+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:54:34+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:55:35+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:56:35+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:57:35+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:58:36+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:59:36+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:00:36+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:01:37+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:02:37+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:03:37+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:04:37+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:05:38+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:06:38+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:07:38+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:08:39+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:09:39+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:10:39+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:11:40+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:12:40+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:13:40+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:14:41+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:15:41+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:16:41+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:17:42+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:18:42+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:19:42+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:20:43+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:21:43+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:22:43+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:23:44+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:24:44+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:25:44+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:26:44+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:27:45+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:28:45+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:29:45+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:30:46+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:31:46+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:32:46+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:33:47+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:34:47+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:35:47+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:36:47+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:37:48+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:38:48+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:39:48+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:40:49+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:41:49+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:42:49+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:43:50+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:44:50+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:45:50+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:46:51+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:47:51+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:48:51+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:49:52+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:50:52+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:51:52+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:52:52+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:53:53+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:54:53+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:55:53+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:56:54+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:57:54+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:58:54+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T17:59:55+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:00:55+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:01:55+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:02:56+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:03:56+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:04:56+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:05:57+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:06:57+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:07:57+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:08:58+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:09:58+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:10:58+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:11:58+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:12:59+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:13:59+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:14:59+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:16:00+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:17:00+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:18:00+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:19:01+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:20:01+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:21:01+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:22:02+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:23:02+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:24:02+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:25:02+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:26:03+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:27:03+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:28:03+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:29:04+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:30:04+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:31:04+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:32:04+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:33:05+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:34:05+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:35:05+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:36:06+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:37:06+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:38:06+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:39:07+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:40:07+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:41:07+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:42:07+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:43:08+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:44:08+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:45:08+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:46:09+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:47:09+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:48:09+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:49:10+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:50:10+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:51:10+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:52:10+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:53:11+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:54:11+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:55:11+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:56:12+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:57:12+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:58:12+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T18:59:13+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:00:13+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:01:13+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:02:13+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:03:14+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:04:14+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:05:14+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:06:15+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:07:15+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:08:15+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:09:15+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:10:16+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:11:16+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:12:16+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:13:17+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:14:17+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:15:17+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:16:18+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:17:18+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:18:18+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:19:18+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:20:19+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:21:19+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:22:19+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:23:20+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:24:20+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:25:20+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:26:20+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:27:21+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:28:21+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:29:21+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:30:22+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:31:22+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:32:22+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:33:22+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:34:23+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:35:23+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:36:23+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:37:24+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:38:24+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:39:24+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:40:24+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:41:25+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:42:25+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:43:25+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:44:26+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:45:26+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:46:26+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:47:26+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:48:27+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:49:27+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:50:27+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:51:28+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:52:28+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:53:28+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:54:29+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:55:29+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T19:56:29+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
